"CustomerID","FirstName","LastName","Department","Phone","Street",CITY,STATE,ZIPCODE
1,Okello,Lisle,DEV,12311475047,Portland street,Karwar,OK,40165
2,Pival,Lebon,DEV,13377592259,Jericho farm close,Dibrugarh,TN,98276
3,Gedaliah,Montpetit,DEV,16495982333,Booker avenue,Dhulian,KY,98013
4,Faraji,Route,DEV,17636333381,Duncan street,Anantapur,SD,00751
5,Yvon,Bacon,DEV,19277652018,Portland street,Bijnaur,ME,52175
6,Jarah,Frere,DEV,16104763447,Knight street,Hamirpur,FL,43229
7,Ashley,Fabry,DEV,15174205340,Paradise street,Dhanbad,ND,48009
8,Doren,Barnard,DEV,19846039934,Pilgrim street,Betul,TN,91007
9,Jachin,Solon,DEV,17046169879,Wode street,Kohima,OR,51365
10,Addison,Phenis,DEV,19118501264,Perrin Street,Kozhencherry,KS,33153
11,Abbo,Vachon,DEV,14122244644,Dundonald street,Krishnagiri,IN,02780
12,Mariah,Banville,DEV,18453802809,Egerton street,Thoothukudi,SD,11751
13,Rustom,Caire,DEV,14044809969,Leigh street,Raigarh,CT,92004
14,Kane,Charbonneau,DEV,12241673592,Market street,Nawalgarh,OH,94105
15,Augusteen,Vital,DEV,17006539050,Kingsgate,Indore,GA,13244
16,Husani,Ganoe,DEV,18286371606,Ashton square,Murshidabad,WY,48303
17,Ewald,Forquer,DEV,19527166906,Merton Street,Hoshiarpur,OH,93270
18,Karim,Otter,DEV,12106122009,Mariners parade,Kolhapur,VI,63021
19,Folade,Tavel,DEV,13108039306,Sankey street,Chhindwara,AS,83001
20,Aitan,St. Julien,DEV,12062047116,Edge lane,Bharatpur,ID,62858
21,Anastagio,Maheu,DEV,15059778259,Oakland road,Ramanathapuram,LA,98350
22,Terra,Roy,DEV,12532486721,Crepestre mill,Krishnagiri,DE,78132
23,Adir,Chaudoir,DEV,19029274941,Elliot street,Kannur,CT,05465
24,Annot,Lemaitre,DEV,18472812804,Western Road,Uttarpara,KY,32170
25,Juliet,Carlin,DEV,13218498379,Christian street,Kannur,IL,57564
26,Bennett,Norman,DEV,19413055944,Beaufort street,Guruharsahai,VT,18657
27,Arlo,Paris,DEV,18182612390,Copperas hill,Ranchi,NC,05461
